MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,home_away,match_up,starting_lineup,opposing_lineup
"Jul 16, 2024 - LVA vs. CHI",L,37,28,9,21,42.9,1,2,50.0,9,10,90.0,3,11,14,0,3,5,2,0,-7,1,LVA vs. CHI,"['M. MABREY', 'A. REESE', 'K. CARDOSO', 'C. CARTER', 'L. ALLEN']","['J. YOUNG', 'A. WILSON', 'K. PLUM', 'C. GRAY', 'T. HAYES']"
"Jul 14, 2024 - LVA @ WAS",W,36,28,12,19,63.2,0,1,0.0,4,4,100,4,13,17,1,0,2,2,1,9,0,LVA @ WAS,"['J. YOUNG', 'A. WILSON', 'K. PLUM', 'C. GRAY', 'T. HAYES']","['M. HINES-ALLEN', 'S. DOLSON', 'A. ATKINS', 'J. VANLOO', 'S. WALKER-KIMBROUGH']"
"Jul 12, 2024 - LVA @ ATL",W,37,33,13,23,56.5,3,4,75.0,4,4,100,2,16,18,1,3,5,0,2,22,0,LVA @ ATL,"['J. YOUNG', 'A. WILSON', 'K. PLUM', 'C. GRAY', 'A. CLARK']","['A. GRAY', 'T. CHARLES', 'M. CALDWELL', 'H. JONES', 'C. PARKER-TYUS', 'D. HENDERSON']"
"Jul 10, 2024 - LVA @ SEA",W,35,24,7,18,38.9,0,2,0.0,10,10,100,2,18,20,2,3,4,0,0,-2,0,LVA @ SEA,"['J. YOUNG', 'A. WILSON', 'K. PLUM', 'C. GRAY', 'A. CLARK']","['J. HORSTON', 'N. OGWUMIKE', 'E. MAGBEGOR', 'J. LOYD', 'S. DIGGINS-SMITH']"
"Jul 07, 2024 - LVA vs. DAL",W,31,28,11,22,50.0,3,4,75.0,3,4,75.0,3,7,10,2,1,2,2,0,26,1,LVA vs. DAL,"['J. SHELDON', 'N. HOWARD', 'T. MCCOWAN', 'A. OGUNBOWALE', 'O. SIMS']","['J. YOUNG', 'A. CLARK', 'A. WILSON', 'K. PLUM', 'C. GRAY', 'T. HAYES']"
"Jul 05, 2024 - LVA @ LAS",L,41,35,13,23,56.5,0,3,0.0,9,9,100,0,12,12,3,0,6,2,5,-5,0,LVA @ LAS,"['J. YOUNG', 'K. STOKES', 'K. PLUM', 'C. GRAY', 'A. CLARK']","['S. TALBOT', 'D. HAMBY', 'A. MCDONALD', 'R. BURRELL']"
"Jul 04, 2024 - LVA vs. WAS",W,26,18,9,12,75.0,0,1,0.0,0,0,0.0,0,9,9,4,3,3,2,3,27,1,LVA vs. WAS,"['D. RICHARDS', 'A. EDWARDS', 'A. ATKINS', 'J. VANLOO', 'E. ENGSTLER', 'S. WALKER-KIMBROUGH', 'J. MELBOURNE']","['J. YOUNG', 'A. WILSON', 'K. PLUM', 'C. GRAY', 'T. HAYES']"
"Jul 02, 2024 - LVA vs. IND",W,36,28,13,22,59.1,0,0,0.0,2,3,66.7,2,7,9,1,2,5,0,2,14,1,LVA vs. IND,"['K. LOU', 'N. SMITH', 'A. BOSTON', 'K. MITCHELL', 'C. CLARK']","['J. YOUNG', 'A. WILSON', 'K. STOKES', 'K. PLUM', 'A. CLARK']"
"Jun 29, 2024 - LVA @ WAS",W,32,11,4,15,26.7,0,1,0.0,3,4,75.0,0,9,9,5,2,1,1,3,1,0,LVA @ WAS,"['J. YOUNG', 'A. WILSON', 'K. STOKES', 'K. PLUM', 'C. GRAY', 'T. HAYES']","['S. DOLSON', 'A. ATKINS', 'J. VANLOO', 'S. WALKER-KIMBROUGH', 'A. EDWARDS']"
"Jun 27, 2024 - LVA @ CHI",W,34,31,10,19,52.6,1,2,50.0,10,12,83.3,2,4,6,3,2,2,3,2,1,0,LVA @ CHI,"['J. YOUNG', 'A. WILSON', 'K. STOKES', 'K. PLUM', 'C. GRAY']","['M. MABREY', 'A. REESE', 'K. CARDOSO', 'C. CARTER', 'L. ALLEN']"
